word,corpus,sense,proportion,n,sense_label,term_dominant
suffrage,Relief_Society_Magazine,0,0.11333333333333333,34,"auxiliary*, annual, association*, woman*^, national^, utah^","woman*, association*, state*, national"
suffrage,Relief_Society_Magazine,1,0.3233333333333333,97,"champion*, result*, obtained, state*^","woman*, association*, state*, national"
suffrage,Relief_Society_Magazine,2,0.22,66,"peace, history, education","woman*, association*, state*, national"
suffrage,Relief_Society_Magazine,3,0.18666666666666668,56,"sarah, federal, magazine","woman*, association*, state*, national"
suffrage,Relief_Society_Magazine,4,0.15666666666666668,47,"bazar, mother*, club*, mrs^","woman*, association*, state*, national"
suffrage,Womans_Exponent,0,0.2733333333333333,82,"auxiliary*, annual, association*, woman*^, national^, utah^","woman*, association*, state*, national"
suffrage,Womans_Exponent,1,0.25,75,"champion*, result*, obtained, state*^","woman*, association*, state*, national"
suffrage,Womans_Exponent,2,0.20666666666666667,62,"peace, history, education","woman*, association*, state*, national"
suffrage,Womans_Exponent,3,0.10333333333333333,31,"sarah, federal, magazine","woman*, association*, state*, national"
suffrage,Womans_Exponent,4,0.16666666666666666,50,"bazar, mother*, club*, mrs^","woman*, association*, state*, national"
vote,Relief_Society_Magazine,0,0.03666666666666667,11,"thank*, tendered, moved, president*^, mrs^, society*^","woman*, man*, president*, state*"
vote,Relief_Society_Magazine,1,0.30333333333333334,91,"permitted, qualyfide, free, woman*^, man*^","woman*, man*, president*, state*"
vote,Relief_Society_Magazine,2,0.24666666666666667,74,"sustain, leader*, feel","woman*, man*, president*, state*"
vote,Relief_Society_Magazine,3,0.19333333333333333,58,"sustained, third*, unanimou*, president*^, mrs^, society*^","woman*, man*, president*, state*"
vote,Relief_Society_Magazine,4,0.22,66,"entitled, husband*, otherwise, woman*^, man*^, state*^","woman*, man*, president*, state*"
vote,Womans_Exponent,0,0.07,21,"thank*, tendered, moved, president*^, mrs^, society*^","woman*, man*, president*, state*"
vote,Womans_Exponent,1,0.2833333333333333,85,"permitted, qualyfide, free, woman*^, man*^","woman*, man*, president*, state*"
vote,Womans_Exponent,2,0.15,45,"sustain, leader*, feel","woman*, man*, president*, state*"
vote,Womans_Exponent,3,0.2,60,"sustained, third*, unanimou*, president*^, mrs^, society*^","woman*, man*, president*, state*"
vote,Womans_Exponent,4,0.2966666666666667,89,"entitled, husband*, otherwise, woman*^, man*^, state*^","woman*, man*, president*, state*"
rights,Relief_Society_Magazine,0,0.30333333333333334,91,"territory*, interest*, privilege*, man*^, state*^","woman*, man*, nation*, zion"
rights,Relief_Society_Magazine,1,0.19333333333333333,58,"creator, pursuit, created","woman*, man*, nation*, zion"
rights,Relief_Society_Magazine,2,0.21,63,"excerpt*, zion, exponent*, woman*^, nation*^","woman*, man*, nation*, zion"
rights,Relief_Society_Magazine,3,0.22333333333333333,67,"heaven*, lesson, learn*","woman*, man*, nation*, zion"
rights,Relief_Society_Magazine,4,0.07,21,"establishment, bill*, ten","woman*, man*, nation*, zion"
rights,Womans_Exponent,0,0.31,93,"territory*, interest*, privilege*, man*^, state*^","woman*, man*, nation*, zion"
rights,Womans_Exponent,1,0.2633333333333333,79,"creator, pursuit, created","woman*, man*, nation*, zion"
rights,Womans_Exponent,2,0.09,27,"excerpt*, zion, exponent*, woman*^, nation*^","woman*, man*, nation*, zion"
rights,Womans_Exponent,3,0.33,99,"heaven*, lesson, learn*","woman*, man*, nation*, zion"
rights,Womans_Exponent,4,0.006666666666666667,2,"establishment, bill*, ten","woman*, man*, nation*, zion"
relief,Relief_Society_Magazine,0,0.17391304347826086,52,"pleased, agent*, today","society*, sister*, president*, stake*"
relief,Relief_Society_Magazine,1,0.12040133779264214,36,"sewing, learn, friend*","society*, sister*, president*, stake*"
relief,Relief_Society_Magazine,2,0.31438127090301005,94,"tabernacle, field*, cent*, stake*^, ward*^, magazine*^","society*, sister*, president*, stake*"
relief,Relief_Society_Magazine,3,0.3010033444816054,90,"song*, postpaid, fifty, society*^, magazine*^","society*, sister*, president*, stake*"
relief,Relief_Society_Magazine,4,0.0903010033444816,27,"little, own, heart*","society*, sister*, president*, stake*"
relief,Womans_Exponent,0,0.6,180,"pleased, agent*, today","society*, sister*, president*, stake*"
relief,Womans_Exponent,1,0.10333333333333333,31,"sewing, learn, friend*","society*, sister*, president*, stake*"
relief,Womans_Exponent,2,0.1,30,"tabernacle, field*, cent*, stake*^, ward*^, magazine*^","society*, sister*, president*, stake*"
relief,Womans_Exponent,3,0.14,42,"song*, postpaid, fifty, society*^, magazine*^","society*, sister*, president*, stake*"
relief,Womans_Exponent,4,0.056666666666666664,17,"little, own, heart*","society*, sister*, president*, stake*"
welfare,Relief_Society_Magazine,0,0.3177257525083612,95,"lee, problem*, cannot, society*^, church^, relief^, work*^","society*, church, relief, work*"
welfare,Relief_Society_Magazine,1,0.11036789297658862,33,"praying, gospel, zion","society*, church, relief, work*"
welfare,Relief_Society_Magazine,2,0.09698996655518395,29,"influence, individual*, side*, child*^","society*, church, relief, work*"
welfare,Relief_Society_Magazine,3,0.31438127090301005,94,"clinic*, receiving, participating, society*^, church^, relief^, work*^, woman*^, child*^","society*, church, relief, work*"
welfare,Relief_Society_Magazine,4,0.1605351170568562,48,"visited, completed, article*, society*^, church^, relief^","society*, church, relief, work*"
welfare,Womans_Exponent,0,0.0,0,"lee, problem*, cannot, society*^, church^, relief^, work*^","society*, church, relief, work*"
welfare,Womans_Exponent,1,0.7866666666666666,236,"praying, gospel, zion","society*, church, relief, work*"
welfare,Womans_Exponent,2,0.21333333333333335,64,"influence, individual*, side*, child*^","society*, church, relief, work*"
welfare,Womans_Exponent,3,0.0,0,"clinic*, receiving, participating, society*^, church^, relief^, work*^, woman*^, child*^","society*, church, relief, work*"
welfare,Womans_Exponent,4,0.0,0,"visited, completed, article*, society*^, church^, relief^","society*, church, relief, work*"
charity,Relief_Society_Magazine,0,0.13220338983050847,39,"motto, joy, tongue*","fund*, love*, society*, work*"
charity,Relief_Society_Magazine,1,0.24745762711864408,73,"john, live, character","fund*, love*, society*, work*"
charity,Relief_Society_Magazine,2,0.1694915254237288,50,"benevolence, toward*, ness, love*^, sister*^","fund*, love*, society*, work*"
charity,Relief_Society_Magazine,3,0.20677966101694914,61,"song*, suffereth, something","fund*, love*, society*, work*"
charity,Relief_Society_Magazine,4,0.2440677966101695,72,"total, disbursement*, balance*, fund*^, society*^, work*^, other*^","fund*, love*, society*, work*"
charity,Womans_Exponent,0,0.05,15,"motto, joy, tongue*","fund*, love*, society*, work*"
charity,Womans_Exponent,1,0.37,111,"john, live, character","fund*, love*, society*, work*"
charity,Womans_Exponent,2,0.18,54,"benevolence, toward*, ness, love*^, sister*^","fund*, love*, society*, work*"
charity,Womans_Exponent,3,0.37666666666666665,113,"song*, suffereth, something","fund*, love*, society*, work*"
charity,Womans_Exponent,4,0.023333333333333334,7,"total, disbursement*, balance*, fund*^, society*^, work*^, other*^","fund*, love*, society*, work*"
service,Relief_Society_Magazine,0,0.3566666666666667,107,"payment, bound, cover, life*^","society*, woman*, relief, work*"
service,Relief_Society_Magazine,1,0.04666666666666667,14,"morning, minister*, hymn*, church*^","society*, woman*, relief, work*"
service,Relief_Society_Magazine,2,0.36,108,"rendered, cause, honor*, society*^, woman*^, relief^","society*, woman*, relief, work*"
service,Relief_Society_Magazine,3,0.19333333333333333,58,"station*, south, committee, work*^","society*, woman*, relief, work*"
service,Relief_Society_Magazine,4,0.043333333333333335,13,"king*, spirit, america, woman*^, life*^","society*, woman*, relief, work*"
service,Womans_Exponent,0,0.3053691275167785,91,"payment, bound, cover, life*^","society*, woman*, relief, work*"
service,Womans_Exponent,1,0.18791946308724833,56,"morning, minister*, hymn*, church*^","society*, woman*, relief, work*"
service,Womans_Exponent,2,0.30201342281879195,90,"rendered, cause, honor*, society*^, woman*^, relief^","society*, woman*, relief, work*"
service,Womans_Exponent,3,0.03691275167785235,11,"station*, south, committee, work*^","society*, woman*, relief, work*"
service,Womans_Exponent,4,0.16778523489932887,50,"king*, spirit, america, woman*^, life*^","society*, woman*, relief, work*"
woman,Relief_Society_Magazine,0,0.22333333333333333,67,"apron, writer, moral*, man*^","man*, society*, day*, first"
woman,Relief_Society_Magazine,1,0.16333333333333333,49,"doctrine, covenant*, section*, day*^, first^","man*, society*, day*, first"
woman,Relief_Society_Magazine,2,0.36666666666666664,110,"janet, red, muu, first^, relief^","man*, society*, day*, first"
woman,Relief_Society_Magazine,3,0.01,3,"suffrage, association*, national","man*, society*, day*, first"
woman,Relief_Society_Magazine,4,0.23666666666666666,71,"rule, rather, hold*, man*^, society*^, life*^, relief^","man*, society*, day*, first"
woman,Womans_Exponent,0,0.25,75,"apron, writer, moral*, man*^","man*, society*, day*, first"
woman,Womans_Exponent,1,0.25666666666666665,77,"doctrine, covenant*, section*, day*^, first^","man*, society*, day*, first"
woman,Womans_Exponent,2,0.13,39,"janet, red, muu, first^, relief^","man*, society*, day*, first"
woman,Womans_Exponent,3,0.10666666666666667,32,"suffrage, association*, national","man*, society*, day*, first"
woman,Womans_Exponent,4,0.25666666666666665,77,"rule, rather, hold*, man*^, society*^, life*^, relief^","man*, society*, day*, first"
women,Relief_Society_Magazine,0,0.31,93,"street*, lady*, temple*","man*, society*, relief, church"
women,Relief_Society_Magazine,1,0.16666666666666666,50,"side, vote*, nor","man*, society*, relief, church"
women,Relief_Society_Magazine,2,0.18333333333333332,55,"difference, little, knowledge","man*, society*, relief, church"
women,Relief_Society_Magazine,3,0.08,24,"reason*, together, themselve*, man*^, church^","man*, society*, relief, church"
women,Relief_Society_Magazine,4,0.26,78,"program*, latter, vice*, society*^, relief^, church^, day*^","man*, society*, relief, church"
women,Womans_Exponent,0,0.2866666666666667,86,"street*, lady*, temple*","man*, society*, relief, church"
women,Womans_Exponent,1,0.37666666666666665,113,"side, vote*, nor","man*, society*, relief, church"
women,Womans_Exponent,2,0.14333333333333334,43,"difference, little, knowledge","man*, society*, relief, church"
women,Womans_Exponent,3,0.056666666666666664,17,"reason*, together, themselve*, man*^, church^","man*, society*, relief, church"
women,Womans_Exponent,4,0.13666666666666666,41,"program*, latter, vice*, society*^, relief^, church^, day*^","man*, society*, relief, church"
sister,Relief_Society_Magazine,0,0.17666666666666667,53,"homemaking, program*, brown, president*^, counselor*^, ward*^","society*, president*, relief, stake*"
sister,Relief_Society_Magazine,1,0.15666666666666668,47,"smoot, cake*, pike, president*^","society*, president*, relief, stake*"
sister,Relief_Society_Magazine,2,0.05,15,"eliza, tion*, harriet, society*^","society*, president*, relief, stake*"
sister,Relief_Society_Magazine,3,0.4,120,"university, experience*, outstanding, stake*^","society*, president*, relief, stake*"
sister,Relief_Society_Magazine,4,0.21666666666666667,65,"wish*, died, zion","society*, president*, relief, stake*"
sister,Womans_Exponent,0,0.11,33,"homemaking, program*, brown, president*^, counselor*^, ward*^","society*, president*, relief, stake*"
sister,Womans_Exponent,1,0.23333333333333334,70,"smoot, cake*, pike, president*^","society*, president*, relief, stake*"
sister,Womans_Exponent,2,0.29333333333333333,88,"eliza, tion*, harriet, society*^","society*, president*, relief, stake*"
sister,Womans_Exponent,3,0.18,54,"university, experience*, outstanding, stake*^","society*, president*, relief, stake*"
sister,Womans_Exponent,4,0.18333333333333332,55,"wish*, died, zion","society*, president*, relief, stake*"
mother,Relief_Society_Magazine,0,0.03666666666666667,11,"grandchildren, ten, eight, child*^, sister*^","child*, father*, life*, sister*"
mother,Relief_Society_Magazine,1,0.25666666666666665,77,"millie, anne, get","child*, father*, life*, sister*"
mother,Relief_Society_Magazine,2,0.14666666666666667,44,"recitation, william*, soon, day*^","child*, father*, life*, sister*"
mother,Relief_Society_Magazine,3,0.36,108,"necessary, question*, nurse, child*^","child*, father*, life*, sister*"
mother,Relief_Society_Magazine,4,0.2,60,"sent, spoke, died, father*^","child*, father*, life*, sister*"
mother,Womans_Exponent,0,0.08666666666666667,26,"grandchildren, ten, eight, child*^, sister*^","child*, father*, life*, sister*"
mother,Womans_Exponent,1,0.15666666666666668,47,"millie, anne, get","child*, father*, life*, sister*"
mother,Womans_Exponent,2,0.17333333333333334,52,"recitation, william*, soon, day*^","child*, father*, life*, sister*"
mother,Womans_Exponent,3,0.29333333333333333,88,"necessary, question*, nurse, child*^","child*, father*, life*, sister*"
mother,Womans_Exponent,4,0.29,87,"sent, spoke, died, father*^","child*, father*, life*, sister*"
home,Relief_Society_Magazine,0,0.08666666666666667,26,"perhap*, lady*, received, sister*^","society*, relief, child*, family*"
home,Relief_Society_Magazine,1,0.2966666666666667,89,"heaven, voice*, sweet","society*, relief, child*, family*"
home,Relief_Society_Magazine,2,0.03,9,"abroad, sick, account, child*^","society*, relief, child*, family*"
home,Relief_Society_Magazine,3,0.32666666666666666,98,"industry*, relationship*, auxiliary, society*^, relief^","society*, relief, child*, family*"
home,Relief_Society_Magazine,4,0.26,78,"faith, character*, met, family*^, sister*^, woman*^","society*, relief, child*, family*"
home,Womans_Exponent,0,0.11333333333333333,34,"perhap*, lady*, received, sister*^","society*, relief, child*, family*"
home,Womans_Exponent,1,0.3566666666666667,107,"heaven, voice*, sweet","society*, relief, child*, family*"
home,Womans_Exponent,2,0.08333333333333333,25,"abroad, sick, account, child*^","society*, relief, child*, family*"
home,Womans_Exponent,3,0.17333333333333334,52,"industry*, relationship*, auxiliary, society*^, relief^","society*, relief, child*, family*"
home,Womans_Exponent,4,0.2733333333333333,82,"faith, character*, met, family*^, sister*^, woman*^","society*, relief, child*, family*"
work,Relief_Society_Magazine,0,0.21,63,"seen, active, month*","society*, relief, sister*, woman*"
work,Relief_Society_Magazine,1,0.13,39,"idleness, experience*, making, society*^, relief^, life*^, good^","society*, relief, sister*, woman*"
work,Relief_Society_Magazine,2,0.37333333333333335,112,"english, teaching, literature","society*, relief, sister*, woman*"
work,Relief_Society_Magazine,3,0.16333333333333333,49,"engaged, excellent, prophet*, sister*^, good^","society*, relief, sister*, woman*"
work,Relief_Society_Magazine,4,0.12333333333333334,37,"ideal*, own, wish*, woman*^, life*^","society*, relief, sister*, woman*"
work,Womans_Exponent,0,0.15666666666666668,47,"seen, active, month*","society*, relief, sister*, woman*"
work,Womans_Exponent,1,0.15333333333333332,46,"idleness, experience*, making, society*^, relief^, life*^, good^","society*, relief, sister*, woman*"
work,Womans_Exponent,2,0.29,87,"english, teaching, literature","society*, relief, sister*, woman*"
work,Womans_Exponent,3,0.29,87,"engaged, excellent, prophet*, sister*^, good^","society*, relief, sister*, woman*"
work,Womans_Exponent,4,0.11,33,"ideal*, own, wish*, woman*^, life*^","society*, relief, sister*, woman*"
duty,Relief_Society_Magazine,0,0.2,60,"rest*, happy, smith, child*^, society*^","sister*, child*, society*, woman*"
duty,Relief_Society_Magazine,1,0.14666666666666667,44,"counted, worthy, learn*, child*^, society*^, woman*^, life*^","sister*, child*, society*, woman*"
duty,Relief_Society_Magazine,2,0.24333333333333335,73,"territory, painful, whose","sister*, child*, society*, woman*"
duty,Relief_Society_Magazine,3,0.17,51,"character*, kind, human","sister*, child*, society*, woman*"
duty,Relief_Society_Magazine,4,0.24,72,"keep*, try*, put, sister*^","sister*, child*, society*, woman*"
duty,Womans_Exponent,0,0.12333333333333334,37,"rest*, happy, smith, child*^, society*^","sister*, child*, society*, woman*"
duty,Womans_Exponent,1,0.11666666666666667,35,"counted, worthy, learn*, child*^, society*^, woman*^, life*^","sister*, child*, society*, woman*"
duty,Womans_Exponent,2,0.23666666666666666,71,"territory, painful, whose","sister*, child*, society*, woman*"
duty,Womans_Exponent,3,0.18333333333333332,55,"character*, kind, human","sister*, child*, society*, woman*"
duty,Womans_Exponent,4,0.34,102,"keep*, try*, put, sister*^","sister*, child*, society*, woman*"
faith,Relief_Society_Magazine,0,0.14333333333333334,43,"article*, whom, mormon*","god*, life*, prayer*, lord"
faith,Relief_Society_Magazine,1,0.24,72,"counselor*, sustain, spiritual, prayer*^","god*, life*, prayer*, lord"
faith,Relief_Society_Magazine,2,0.17,51,"objective*, household, american","god*, life*, prayer*, lord"
faith,Relief_Society_Magazine,3,0.21666666666666667,65,"necessary, impossible, peace, god*^, lord^","god*, life*, prayer*, lord"
faith,Relief_Society_Magazine,4,0.23,69,"constant, learning, devoted, life*^","god*, life*, prayer*, lord"
faith,Womans_Exponent,0,0.10333333333333333,31,"article*, whom, mormon*","god*, life*, prayer*, lord"
faith,Womans_Exponent,1,0.31,93,"counselor*, sustain, spiritual, prayer*^","god*, life*, prayer*, lord"
faith,Womans_Exponent,2,0.16666666666666666,50,"objective*, household, american","god*, life*, prayer*, lord"
faith,Womans_Exponent,3,0.22666666666666666,68,"necessary, impossible, peace, god*^, lord^","god*, life*, prayer*, lord"
faith,Womans_Exponent,4,0.19333333333333333,58,"constant, learning, devoted, life*^","god*, life*, prayer*, lord"
family,Relief_Society_Magazine,0,0.27,81,"copy*, word*, understand, mother*^, sister*^","child*, mother*, member*, life*"
family,Relief_Society_Magazine,1,0.11666666666666667,35,"mrs, aunt*, resolved, sister*^, other*^","child*, mother*, member*, life*"
family,Relief_Society_Magazine,2,0.31666666666666665,95,"moral*, fundamental, circle, member*^, life*^","child*, mother*, member*, life*"
family,Relief_Society_Magazine,3,0.11,33,"pay*, government, although, life*^","child*, mother*, member*, life*"
family,Relief_Society_Magazine,4,0.18666666666666668,56,"singing, attention, together, child*^, mother*^","child*, mother*, member*, life*"
family,Womans_Exponent,0,0.30666666666666664,92,"copy*, word*, understand, mother*^, sister*^","child*, mother*, member*, life*"
family,Womans_Exponent,1,0.27666666666666667,83,"mrs, aunt*, resolved, sister*^, other*^","child*, mother*, member*, life*"
family,Womans_Exponent,2,0.12,36,"moral*, fundamental, circle, member*^, life*^","child*, mother*, member*, life*"
family,Womans_Exponent,3,0.19,57,"pay*, government, although, life*^","child*, mother*, member*, life*"
family,Womans_Exponent,4,0.10666666666666667,32,"singing, attention, together, child*^, mother*^","child*, mother*, member*, life*"
war,Relief_Society_Magazine,0,0.15333333333333332,46,"secretary*, faith, died, man*^","woman*, time*, child*, world"
war,Relief_Society_Magazine,1,0.15666666666666668,47,"born, fare, light, man*^","woman*, time*, child*, world"
war,Relief_Society_Magazine,2,0.18666666666666668,56,"nor, earth, evil*, time*^","woman*, time*, child*, world"
war,Relief_Society_Magazine,3,0.17666666666666667,53,"broke, generation, independence","woman*, time*, child*, world"
war,Relief_Society_Magazine,4,0.32666666666666666,98,"saving*, contribution*, school*, child*^, other*^","woman*, time*, child*, world"
war,Womans_Exponent,0,0.16666666666666666,50,"secretary*, faith, died, man*^","woman*, time*, child*, world"
war,Womans_Exponent,1,0.19,57,"born, fare, light, man*^","woman*, time*, child*, world"
war,Womans_Exponent,2,0.23666666666666666,71,"nor, earth, evil*, time*^","woman*, time*, child*, world"
war,Womans_Exponent,3,0.3,90,"broke, generation, independence","woman*, time*, child*, world"
war,Womans_Exponent,4,0.10666666666666667,32,"saving*, contribution*, school*, child*^, other*^","woman*, time*, child*, world"
lesson,Relief_Society_Magazine,0,0.3233333333333333,97,"activity*, discussion, department*, work*^","department*, life*, first, child*"
lesson,Relief_Society_Magazine,1,0.05,15,"turn, learned, learning, life*^","department*, life*, first, child*"
lesson,Relief_Society_Magazine,2,0.2833333333333333,85,"issue*, science, message*, department*^","department*, life*, first, child*"
lesson,Relief_Society_Magazine,3,0.21666666666666667,65,"ref, chapter*, text*, child*^, day*^","department*, life*, first, child*"
lesson,Relief_Society_Magazine,4,0.12666666666666668,38,"master, aunt, preparing","department*, life*, first, child*"
lesson,Womans_Exponent,0,0.02666666666666667,8,"activity*, discussion, department*, work*^","department*, life*, first, child*"
lesson,Womans_Exponent,1,0.48,144,"turn, learned, learning, life*^","department*, life*, first, child*"
lesson,Womans_Exponent,2,0.14,42,"issue*, science, message*, department*^","department*, life*, first, child*"
lesson,Womans_Exponent,3,0.17,51,"ref, chapter*, text*, child*^, day*^","department*, life*, first, child*"
lesson,Womans_Exponent,4,0.18333333333333332,55,"master, aunt, preparing","department*, life*, first, child*"
temple,Relief_Society_Magazine,0,0.27424749163879597,82,"pillar*, happy, saw","lake, salt*, work*, society*"
temple,Relief_Society_Magazine,1,0.26421404682274247,79,"clothing, sheet*, visiting, work*^, society*^, sister*^","lake, salt*, work*, society*"
temple,Relief_Society_Magazine,2,0.1705685618729097,51,"main, washington, mall, lake^, salt*^, society*^, city*^","lake, salt*, work*, society*"
temple,Relief_Society_Magazine,3,0.023411371237458192,7,"space, advertiser*, count, lake^, salt*^, city*^","lake, salt*, work*, society*"
temple,Relief_Society_Magazine,4,0.26755852842809363,80,"property, cash, married, sister*^","lake, salt*, work*, society*"
temple,Womans_Exponent,0,0.31313131313131315,93,"pillar*, happy, saw","lake, salt*, work*, society*"
temple,Womans_Exponent,1,0.09090909090909091,27,"clothing, sheet*, visiting, work*^, society*^, sister*^","lake, salt*, work*, society*"
temple,Womans_Exponent,2,0.037037037037037035,11,"main, washington, mall, lake^, salt*^, society*^, city*^","lake, salt*, work*, society*"
temple,Womans_Exponent,3,0.14814814814814814,44,"space, advertiser*, count, lake^, salt*^, city*^","lake, salt*, work*, society*"
temple,Womans_Exponent,4,0.4107744107744108,122,"property, cash, married, sister*^","lake, salt*, work*, society*"
priesthood,Relief_Society_Magazine,0,0.30666666666666664,92,"chosen, labor*, ordained, holy^","church*, society*, god*, relief"
priesthood,Relief_Society_Magazine,1,0.06,18,"heir*, true, covenant*, god*^, holy^","church*, society*, god*, relief"
priesthood,Relief_Society_Magazine,2,0.20666666666666667,62,"hour, present*, bishopric*, society*^, relief^","church*, society*, god*, relief"
priesthood,Relief_Society_Magazine,3,0.20666666666666667,62,"divine*, priest*, key*, church*^, god*^, man*^","church*, society*, god*, relief"
priesthood,Relief_Society_Magazine,4,0.22,66,"large, morning*, group*","church*, society*, god*, relief"
priesthood,Womans_Exponent,0,0.45666666666666667,137,"chosen, labor*, ordained, holy^","church*, society*, god*, relief"
priesthood,Womans_Exponent,1,0.19666666666666666,59,"heir*, true, covenant*, god*^, holy^","church*, society*, god*, relief"
priesthood,Womans_Exponent,2,0.18666666666666668,56,"hour, present*, bishopric*, society*^, relief^","church*, society*, god*, relief"
priesthood,Womans_Exponent,3,0.10666666666666667,32,"divine*, priest*, key*, church*^, god*^, man*^","church*, society*, god*, relief"
priesthood,Womans_Exponent,4,0.05333333333333334,16,"large, morning*, group*","church*, society*, god*, relief"
